D,3879,0.039,-0.313,0.961
C,3880,-0.078,0.008,1.004
C,3884,-0.074,0.012,1.008
D,3885,0.039,-0.344,0.965
D,3888,0.047,-0.297,0.934
C,3890,-0.086,0.008,1.008
C,3893,-0.082,0.008,1.008
D,3895,0.043,-0.320,0.957
C,3899,-0.078,0.012,1.008
D,3900,0.055,-0.332,0.961
C,3903,-0.086,0.008,1.008
D,3905,0.051,-0.289,0.930
C,3908,-0.078,0.008,1.008
D,3910,0.047,-0.344,0.961
C,3913,-0.082,0.008,1.004
D,3914,0.043,-0.313,0.957
C,3918,-0.078,0.008,1.008
D,3920,0.055,-0.297,0.938
C,3923,-0.078,0.008,1.008
D,3924,0.039,-0.355,0.977
C,3928,-0.082,0.008,1.004
D,3929,0.047,-0.301,0.957
C,3933,-0.074,0.008,1.008
D,3934,0.055,-0.309,0.941
C,3938,-0.074,0.008,1.008
D,3939,0.031,-0.352,0.969
C,3943,-0.082,0.012,1.008
D,3945,0.047,-0.301,0.938
C,3948,-0.082,0.008,1.012
D,3949,0.055,-0.313,0.938
C,3953,-0.078,0.012,1.008
D,3954,0.035,-0.352,0.965
C,3957,-0.082,0.008,1.008
D,3959,0.059,-0.309,0.934
C,3963,-0.086,0.008,1.004
D,3964,0.043,-0.324,0.949
C,3967,-0.078,0.008,1.008
D,3969,0.031,-0.340,0.973
C,3972,-0.078,0.008,1.004
D,3974,0.063,-0.309,0.938
C,3977,-0.078,0.008,1.008
D,3978,0.039,-0.324,0.949
C,3982,-0.074,0.008,1.008
D,3984,0.043,-0.332,0.973
C,3987,-0.086,0.008,1.012
D,3989,0.063,-0.309,0.918
C,3992,-0.078,0.008,1.008
D,3993,0.043,-0.328,0.961
C,3996,-0.082,0.008,1.008
D,3999,0.051,-0.320,0.965
C,4002,-0.078,0.016,1.008
D,4003,0.055,-0.313,0.926
C,4007,-0.078,0.004,1.004
D,4009,0.035,-0.332,0.969
C,4012,-0.082,0.012,1.016
D,4014,0.047,-0.320,0.961
C,4017,-0.074,0.008,1.004
D,4018,0.047,-0.309,0.934
C,4021,-0.086,0.012,1.008
D,4024,0.039,-0.344,0.973
C,4027,-0.074,0.008,1.000
D,4029,0.047,-0.301,0.934
C,4031,-0.074,0.008,1.008
D,4033,0.043,-0.313,0.941
C,4036,-0.082,0.008,1.008
D,4039,0.039,-0.340,0.969
C,4041,-0.082,0.004,1.000
D,4043,0.047,-0.309,0.938
C,4046,-0.082,0.008,1.012
D,4048,0.047,-0.309,0.961
C,4051,-0.078,0.004,1.008
D,4054,0.043,-0.336,0.977
C,4056,-0.082,0.008,1.008
D,4058,0.047,-0.297,0.938
C,4061,-0.086,0.008,1.008
D,4064,0.047,-0.309,0.965
C,4066,-0.078,0.008,1.000
D,4068,0.043,-0.332,0.965
C,4071,-0.082,0.004,1.000
D,4073,0.055,-0.293,0.934
C,4076,-0.078,0.008,1.008
D,4079,0.039,-0.313,0.969
C,4081,-0.078,0.008,1.004
D,4083,0.043,-0.313,0.961
C,4085,-0.078,0.004,1.008
D,4088,0.047,-0.289,0.945
C,4091,-0.082,0.012,1.008
D,4094,0.027,-0.336,0.973
C,4095,-0.074,0.008,1.004
D,4098,0.035,-0.309,0.949
C,4100,-0.078,0.008,1.008
D,4103,0.047,-0.289,0.938
C,4105,-0.074,0.008,1.004
D,4108,0.031,-0.336,0.969
C,4110,-0.078,0.004,1.012
D,4113,0.043,-0.289,0.941
C,4115,-0.074,0.004,1.008
D,4119,0.039,-0.301,0.949
C,4120,-0.082,0.004,1.012
D,4123,0.031,-0.336,0.973
C,4125,-0.078,0.008,1.004
D,4128,0.047,-0.277,0.945
C,4130,-0.082,0.008,1.012
D,4134,0.043,-0.309,0.957
C,4135,-0.074,0.008,1.008
D,4138,0.035,-0.328,0.973
C,4140,-0.078,0.012,1.008
D,4143,0.051,-0.277,0.938
C,4145,-0.082,0.008,1.000
D,4148,0.039,-0.309,0.957
C,4149,-0.082,0.008,1.008
